,type,precision,recall,f1-score,support,mis_from_top5,mis_to_top5
0,address,0.9734513274336283,0.9649122807017544,0.9691629955947135,114,"[('notes', 1), ('location', 1), ('manufacturer', 1)]","[('location', 2), ('rank', 1), ('name', 1)]"
1,affiliate,1.0,1.0,1.0,1,[],[]
2,affiliation,0.9743589743589743,0.9743589743589743,0.9743589743589743,39,"[('education', 1)]","[('location', 1)]"
3,age,0.9961464354527938,0.9923224568138196,0.9942307692307691,1042,"[('rank', 2), ('day', 1), ('weight', 1)]","[('day', 1), ('name', 1), ('position', 1), ('location', 1), ('rank', 1)]"
4,album,0.9511400651465798,0.9668874172185431,0.9589490968801314,302,"[('artist', 5), ('category', 3), ('name', 3), ('region', 1), ('classification', 1)]","[('artist', 5), ('team', 1), ('publisher', 1), ('duration', 1), ('club', 1)]"
5,area,0.8888888888888888,0.8,0.8421052631578948,10,"[('depth', 1)]","[('class', 1), ('duration', 1)]"
6,artist,0.9529780564263323,0.9440993788819876,0.9485179407176287,322,"[('album', 5), ('name', 4), ('category', 1), ('owner', 1), ('nationality', 1)]","[('name', 9), ('album', 5), ('format', 1), ('location', 1), ('notes', 1)]"
7,birthDate,1.0,1.0,1.0,10,[],[]
8,birthPlace,1.0,0.9090909090909091,0.9523809523809523,11,[],"[('notes', 1)]"
9,brand,0.8333333333333334,0.9090909090909091,0.8695652173913043,11,"[('type', 1), ('name', 1)]","[('type', 1)]"
10,capacity,1.0,0.6666666666666666,0.8,3,[],"[('duration', 1)]"
11,category,0.9707446808510638,0.9656084656084656,0.9681697612732095,378,"[('city', 2), ('type', 2), ('description', 1), ('country', 1), ('position', 1)]","[('type', 4), ('album', 3), ('country', 1), ('position', 1), ('artist', 1)]"
12,city,0.9863791146424518,0.9764044943820225,0.9813664596273292,890,"[('team', 2), ('state', 2), ('name', 2), ('region', 2), ('location', 2)]","[('location', 7), ('team', 3), ('category', 2), ('class', 2), ('state', 2)]"
13,class,0.950381679389313,0.9467680608365019,0.9485714285714286,263,"[('position', 2), ('rank', 2), ('city', 2), ('year', 2), ('weight', 1)]","[('description', 4), ('rank', 2), ('notes', 2), ('name', 2), ('code', 2)]"
14,classification,1.0,0.6666666666666666,0.8,6,[],"[('album', 1), ('notes', 1)]"
15,club,0.9923273657289002,0.9822784810126582,0.9872773536895674,395,"[('album', 1), ('team', 1), ('symbol', 1)]","[('team', 4), ('manufacturer', 1), ('notes', 1), ('city', 1)]"
16,code,0.9898580121703854,0.991869918699187,0.9908629441624366,492,"[('class', 2), ('symbol', 1), ('product', 1), ('component', 1)]","[('team', 1), ('rank', 1), ('state', 1), ('symbol', 1)]"
17,collection,1.0,0.9090909090909091,0.9523809523809523,11,[],"[('location', 1)]"
18,command,0.625,0.7142857142857143,0.6666666666666666,7,"[('year', 1), ('category', 1), ('depth', 1)]","[('type', 1), ('publisher', 1)]"
19,company,0.9519650655021834,0.960352422907489,0.956140350877193,227,"[('name', 4), ('description', 2), ('type', 1), ('team', 1), ('country', 1)]","[('name', 5), ('product', 1), ('location', 1), ('symbol', 1), ('type', 1)]"
20,component,0.9444444444444444,0.85,0.8947368421052632,20,"[('owner', 1)]","[('name', 2), ('code', 1)]"
21,continent,1.0,1.0,1.0,7,[],[]
22,country,0.9357798165137615,0.9230769230769231,0.9293849658314352,221,"[('team', 8), ('category', 1), ('name', 1), ('nationality', 1), ('status', 1)]","[('team', 8), ('symbol', 3), ('origin', 2), ('category', 1), ('nationality', 1)]"
23,county,0.9767441860465116,0.9438202247191011,0.9599999999999999,89,"[('city', 1), ('state', 1)]","[('team', 2), ('type', 1), ('state', 1), ('city', 1)]"
24,creator,1.0,1.0,1.0,4,[],[]
25,credit,1.0,0.9333333333333333,0.9655172413793104,15,[],"[('name', 1)]"
26,currency,1.0,0.6666666666666666,0.8,3,[],"[('state', 1)]"
27,day,0.975,0.8666666666666667,0.9176470588235294,45,"[('age', 1)]","[('rank', 2), ('age', 1), ('type', 1), ('name', 1), ('duration', 1)]"
28,depth,0.8,0.5714285714285714,0.6666666666666666,7,"[('product', 1)]","[('rank', 1), ('area', 1), ('command', 1)]"
29,description,0.9833836858006042,0.9819004524886877,0.9826415094339622,1326,"[('notes', 9), ('name', 5), ('type', 4), ('class', 4)]","[('name', 6), ('notes', 4), ('company', 2), ('location', 1), ('category', 1)]"
30,director,1.0,1.0,1.0,3,[],[]
31,duration,0.82,0.9761904761904762,0.8913043478260869,42,"[('rank', 2), ('capacity', 1), ('album', 1), ('genre', 1), ('weight', 1)]","[('notes', 1)]"
32,education,0.0,0.0,0.0,1,[],"[('affiliation', 1)]"
